Node Number	X Location (m)	Y Location (m)	Z Location (m)	Direct Stress (Pa)
1	-2.13e-006	0.22	3.0002e-002	6.1109e-002
2	9.9979e-003	0.22	3.0002e-002	3.7595e-010
3	-2.0002e-002	0.22	3.0002e-002	-0.16496
4	-2.13e-006	0.18	3.0002e-002	1.2667
5	-2.13e-006	0.2	3.0002e-002	0.33872
6	9.9979e-003	0.18	3.0002e-002	9.916e-008
7	-2.0002e-002	0.18	3.0002e-002	-0.48417
8	-2.0002e-002	0.2	3.0002e-002	-0.33872
9	-5.0002e-002	0.22	3.0002e-002	-9.1659e-009
10	-2.12e-006	0.14	3.0002e-002	4.7265
11	-2.125e-006	0.16	3.0002e-002	3.1604
12	-2.12e-006	0.1	3.0002e-002	104.05
13	-2.12e-006	0.12	3.0002e-002	29.183
14	-2.12e-006	6.0001e-002	3.0002e-002	354.64
15	-2.12e-006	8.0001e-002	3.0002e-002	269.31
16	9.9979e-003	6.0001e-002	3.0002e-002	1.4502e-008
17	-2.0002e-002	0.14	3.0002e-002	-11.446
18	-2.0002e-002	0.16	3.0002e-002	-3.165
19	-5.0002e-002	0.18	3.0002e-002	-8.741e-009
20	9.9979e-003	0.14	3.0002e-002	-4.0629e-008
21	-2.0002e-002	0.1	3.0002e-002	-45.196
22	-2.0002e-002	0.12	3.0002e-002	-29.183
23	9.9979e-003	0.1	3.0002e-002	6.128e-010
24	-2.0002e-002	6.0001e-002	3.0002e-002	-1022.7
25	-2.12e-006	2.0001e-002	3.0002e-002	17481
26	-2.12e-006	4.0001e-002	3.0002e-002	2485.3
27	-2.12e-006	6.1e-007	3.0002e-002	88979
28	-2.0002e-002	6.2e-007	3.0002e-002	70380
29	-2.0002e-002	6.1e-007	-4.9998e-002	-1.0762e+005
30	-2.0002e-002	6.1333e-007	-2.3332e-002	1.5583e+005
31	-2.0002e-002	6.1667e-007	3.3349e-003	1.5789e+005
32	0.13	6.1e-007	3.0002e-002	-5381.3
33	4.9979e-003	6.1e-007	-3.6665e-002	-2.1957e+005
34	2.9998e-002	6.1e-007	-2.3332e-002	-2.1854e+005
35	5.4998e-002	6.1e-007	-9.9985e-003	-2.1752e+005
36	7.9998e-002	6.1e-007	3.3348e-003	-2.1649e+005
37	0.105	6.1e-007	1.6668e-002	-2.1546e+005
38	0.104	6.1e-007	3.0002e-002	1.9829e+005
39	7.7998e-002	6.1e-007	3.0002e-002	1.9829e+005
40	5.1998e-002	6.1e-007	3.0002e-002	1.9829e+005
41	2.5998e-002	6.1e-007	3.0002e-002	1.9829e+005
42	-2.12e-006	-1.9999e-002	3.0002e-002	17480
43	-2.12e-006	-5.9999e-002	3.0002e-002	354.63
44	-2.12e-006	-3.9999e-002	3.0002e-002	2485.3
45	-2.11e-006	-9.9999e-002	3.0002e-002	104.05
46	-2.115e-006	-7.9999e-002	3.0002e-002	269.31
47	-2.11e-006	-0.14	3.0002e-002	4.7264
48	-2.11e-006	-0.12	3.0002e-002	29.183
49	9.9979e-003	-0.14	3.0002e-002	-6.1895e-009
50	-5.0002e-002	0.14	3.0002e-002	1.9275e-008
51	-2.0002e-002	8.0001e-002	3.0002e-002	-269.31
52	-5.0002e-002	0.1	3.0002e-002	1.8035e-008
53	-5.0002e-002	6.0001e-002	3.0002e-002	1.357e-008
54	9.9979e-003	2.0001e-002	3.0002e-002	7.9603e-008
55	-2.0002e-002	2.0001e-002	3.0002e-002	-15914
56	-2.0002e-002	2.0001e-002	-4.9998e-002	-1.444e+005
57	-2.0002e-002	2.0001e-002	3.3349e-003	-1.8791e+005
58	-2.0002e-002	2.0001e-002	-2.3332e-002	-1.8996e+005
59	-3.0002e-002	2.0001e-002	-4.9998e-002	-1.4579e+005
60	-8.0002e-002	2.0001e-002	-4.9998e-002	3924.1
61	-5.5002e-002	2.0001e-002	-4.9998e-002	-54458
62	-8.0002e-002	5.0001e-002	-8.9998e-002	40834
63	-8.0002e-002	3.5001e-002	-6.9998e-002	1.2404e+005
64	-3.0002e-002	5.0001e-002	-8.9998e-002	-1.0888e+005
65	-5.5002e-002	5.0001e-002	-8.9998e-002	-6.596e-013
66	-3.0002e-002	3.5001e-002	-6.9998e-002	-3.2509e+005
67	-2.0002e-002	-1.9999e-002	-4.9998e-002	-1.444e+005
68	0.16	6.2e-007	3.0002e-002	-1365.1
69	9.9979e-003	-1.9999e-002	3.0002e-002	3.3116e-008
70	-2.0002e-002	-1.9999e-002	3.0002e-002	-15914
71	9.9979e-003	-5.9999e-002	3.0002e-002	8.9333e-008
72	-2.0002e-002	-5.9999e-002	3.0002e-002	-1022.7
73	-2.0002e-002	-9.9999e-002	3.0002e-002	-45.195
74	-2.0002e-002	-7.9999e-002	3.0002e-002	-269.31
75	-2.0002e-002	-0.14	3.0002e-002	-11.446
76	-2.0002e-002	-0.12	3.0002e-002	-29.183
77	-2.0002e-002	-0.18	3.0002e-002	-0.48417
78	-2.0002e-002	-0.16	3.0002e-002	-3.165
79	-5.0002e-002	-0.18	3.0002e-002	-3.7092e-009
80	9.9979e-003	-9.9999e-002	3.0002e-002	1.7621e-008
81	-2.11e-006	-0.18	3.0002e-002	1.2667
82	-2.11e-006	-0.16	3.0002e-002	3.1604
83	-2.11e-006	-0.22	3.0002e-002	6.1109e-002
84	-2.11e-006	-0.2	3.0002e-002	0.33872
85	9.9979e-003	-0.22	3.0002e-002	-7.2613e-008
86	-2.0002e-002	4.0001e-002	3.0002e-002	-2485.3
87	-5.0002e-002	2.0001e-002	3.0002e-002	68434
88	-9.0002e-002	2.0001e-002	-4.9998e-002	-28679
89	-0.11	5.0001e-002	-8.9998e-002	-6.5961e-013
90	2.13e-006	5.0001e-002	-8.9998e-002	-6.5961e-013
91	-3.0002e-002	-1.9999e-002	-4.9998e-002	-1.4579e+005
92	-8.0002e-002	-1.9999e-002	-4.9998e-002	3924.2
93	-5.5002e-002	-1.9999e-002	-4.9998e-002	-54457
94	-8.0002e-002	-4.9999e-002	-8.9998e-002	40834
95	-8.0002e-002	-3.4999e-002	-6.9998e-002	1.2404e+005
96	-3.0002e-002	-4.9999e-002	-8.9998e-002	-1.0888e+005
97	-5.5002e-002	-4.9999e-002	-8.9998e-002	-6.596e-013
98	2.12e-006	-4.9999e-002	-8.9998e-002	-6.5961e-013
99	0.24	6.2e-007	9.0001e-002	3447.7
100	0.18	6.2e-007	4.5002e-002	2458.3
101	0.2	6.2e-007	6.0001e-002	3613.
102	0.22	6.2e-007	7.5001e-002	4767.8
103	0.21	6.2e-007	3.0002e-002	-4125.2
104	0.185	6.2e-007	3.0002e-002	-8110.5
105	0.24	6.e-007	7.0002e-002	-2949.9
106	0.225	6.1e-007	5.0002e-002	-6872.7
107	-2.0002e-002	-1.9999e-002	3.3349e-003	-1.8791e+005
108	-2.0002e-002	-1.9999e-002	-2.3332e-002	-1.8996e+005
109	-2.0002e-002	-3.9999e-002	3.0002e-002	-2485.3
110	-5.0002e-002	-5.9999e-002	3.0002e-002	1.4314e-008
111	-2.0002e-002	-0.22	3.0002e-002	-0.16496
112	-2.0002e-002	-0.2	3.0002e-002	-0.33872
113	-5.0002e-002	-9.9999e-002	3.0002e-002	-4.9606e-010
114	-5.0002e-002	-0.14	3.0002e-002	5.4566e-009
115	9.9979e-003	-0.18	3.0002e-002	-2.3292e-008
116	-9.0002e-002	2.0001e-002	1.52e-006	43546
117	-7.0002e-002	2.0001e-002	1.5002e-002	76362
118	-0.15	2.0001e-002	-4.9998e-002	-2.5909e-009
119	-0.12	2.0001e-002	-4.9998e-002	-1.8574e-009
120	-0.13	2.0001e-002	-1.9998e-002	7068.
121	-0.11	2.0001e-002	-3.4998e-002	-25530
122	-0.13	2.0001e-002	1.52e-006	38226
123	-0.13	-1.9999e-002	1.52e-006	38226
124	-0.13	6.e-007	1.52e-006	15276
125	-0.13	-1.9999e-002	-1.9998e-002	7068.
126	-9.0002e-002	-1.9999e-002	-4.9998e-002	-28679
127	-0.11	-1.9999e-002	-3.4998e-002	-25530
128	-3.0002e-002	-3.4999e-002	-6.9998e-002	-3.2509e+005
129	-0.11	-4.9999e-002	-8.9998e-002	-6.5961e-013
130	0.16	1.e-002	3.e-002	-11.898
131	0.16	-1.e-002	3.e-002	-11.988
132	0.21	-0.13	3.0002e-002	-1.7208
133	0.17	-3.4e-002	3.e-002	-14.499
134	0.18	-5.8e-002	3.0001e-002	-14.476
135	0.19	-8.2e-002	3.0001e-002	-14.453
136	0.2	-0.106	3.0001e-002	-14.43
137	0.21	-2.6e-002	3.0002e-002	10.966
138	0.21	-5.2e-002	3.0002e-002	10.966
139	0.21	-7.8e-002	3.0002e-002	10.966
140	0.21	-0.104	3.0002e-002	10.965
141	0.21	0.13	3.e-002	-1.7247
142	0.21	0.104	3.e-002	10.953
143	0.21	7.8e-002	3.0001e-002	10.976
144	0.21	5.2e-002	3.0001e-002	10.999
145	0.21	2.6e-002	3.0001e-002	11.023
146	0.17	3.4e-002	3.e-002	-14.379
147	0.18	5.8e-002	3.e-002	-14.379
148	0.19	8.2e-002	3.e-002	-14.379
149	0.2	0.106	3.e-002	-14.379
150	-5.0002e-002	-1.9999e-002	3.0002e-002	68434
151	-5.0002e-002	-0.22	3.0002e-002	-1.0087e-008
152	-9.0002e-002	-1.9999e-002	1.52e-006	43546
153	-9.0002e-002	6.1e-007	1.52e-006	-3919.7
154	-0.11	2.0001e-002	1.52e-006	59352
155	-0.11	-1.9999e-002	1.52e-006	59352
156	-0.15	-1.9999e-002	-4.9998e-002	-4.1057e-009
157	-0.12	-1.9999e-002	-4.9998e-002	-1.066e-009
158	-7.0002e-002	-1.9999e-002	1.5002e-002	76362
