Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
479	0.20829	-0.11238	3.0002e-002	1515.4
442	0.20807	-0.11247	2.0002e-002	242.42
480	0.21209	-0.12163	3.0002e-002	384.91
228	9.9978e-003	6.e-007	3.0002e-002	1.1101e+006
229	1.9998e-002	6.e-007	3.0002e-002	6.3604e+005
230	2.9998e-002	6.e-007	3.0002e-002	7.3567e+005
231	3.9998e-002	6.e-007	3.0002e-002	8.3992e+005
213	-5.0002e-002	-4.8001e-002	-8.3998e-002	1.9186e+006
212	-4.0002e-002	-4.8001e-002	-8.3998e-002	8.4616e+005
240	0.12	1.0001e-002	3.0002e-002	9.4051e+005
241	0.13	1.0001e-002	3.0002e-002	9.6334e+005
257	0.24	-1.0001e-002	8.0002e-002	11476
256	0.24	-1.0001e-002	9.0001e-002	27599
262	0.228	-1.0001e-002	5.4002e-002	36472
263	0.222	-1.0001e-002	4.6002e-002	38714
266	0.21	-6.e-007	3.0001e-002	73893
267	0.21	1.0001e-002	3.0002e-002	46656
189	-2.0002e-002	3.0001e-002	3.e-002	8.2012e+005
225	-1.0002e-002	3.0001e-002	3.e-002	1.6113e+006
222	-5.0002e-002	2.0001e-002	-4.9998e-002	2.4389e+006
221	-4.0002e-002	2.0001e-002	-4.9998e-002	2.9144e+006
214	-5.0002e-002	-4.8001e-002	-9.3998e-002	1.1159e+006
194	-8.0002e-002	2.0001e-002	-4.9998e-002	2.5773e+006
224	-7.0002e-002	2.0001e-002	-4.9998e-002	1.7801e+006
223	-6.0002e-002	2.0001e-002	-4.9998e-002	2.5557e+005
234	6.9998e-002	6.e-007	3.0002e-002	1.1804e+006
235	7.9998e-002	6.e-007	3.0002e-002	1.3031e+006
209	-4.0002e-002	-3.0001e-002	-5.9998e-002	7.5611e+005
210	-4.0002e-002	-3.6001e-002	-6.7998e-002	5.8613e+005
236	8.9998e-002	6.e-007	3.0002e-002	1.4305e+006
237	9.9998e-002	6.e-007	3.0002e-002	9.1558e+005
218	-2.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
219	-1.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
239	0.11	1.0001e-002	3.0002e-002	8.5782e+005
253	0.224	6.e-007	7.8e-002	50405
254	0.232	6.e-007	8.4e-002	98752
268	0.216	1.0001e-002	3.8002e-002	56871
242	0.14	1.0001e-002	3.0002e-002	1.4525e+006
243	0.15	1.0001e-002	3.0002e-002	1.2625e+006
249	0.192	6.e-007	5.4e-002	2.0031e+005
